ticker,sector,year,month,quarter,month_name,year_month,open_price,close_price,high_price,low_price,avg_close,total_volume,avg_volume,monthly_return,avg_daily_return,monthly_volatility,avg_volatility,max_drawdown,end_rsi,avg_rsi,end_ma50,end_ma200,golden_cross,trading_days,mom_pct_change
MSFT,Technology,2020,9,3,Sep,2020-09,214.8639,200.4005,221.8669,186.9853,198.9496,768176300,36579823.8095,-6.2761,-0.2989,2.3481,2.2806,-13.4945,55.84,46.8052,200.29,176.17,1,21,-6.7397
MSFT,Technology,2020,10,4,Oct,2020-10,203.4114,192.9116,214.5781,190.1962,202.8401,631618000,28709909.0909,-3.4022,-0.1546,1.9364,2.1433,-12.5966,23.92,55.545,202.26,180.41,1,22,-3.737
MSFT,Technology,2020,11,4,Nov,2020-11,194.6457,204.498,217.3507,190.6726,204.2419,573443000,28672150.0,6.1827,0.3091,1.9862,2.0486,-12.657,44.01,49.031,202.36,184.29,1,20,6.006
MSFT,Technology,2020,12,4,Dec,2020-12,204.9183,212.4746,217.0217,199.7598,208.2171,594761700,27034622.7273,3.9386,0.179,0.9988,1.5035,-8.8836,72.8,58.3864,205.31,190.2,1,22,3.9006
MSFT,Technology,2021,1,1,Jan,2021-01,212.5797,221.588,231.7905,202.4632,212.0498,648076400,34109284.2105,4.5029,0.237,1.5862,1.3112,-8.1348,64.34,53.1053,208.78,196.28,1,19,4.2892
MSFT,Technology,2021,2,1,Feb,2021-02,224.5494,222.5006,235.1245,218.1918,229.5516,490962200,25840115.7895,0.5691,0.03,1.5324,1.5597,-6.3156,33.57,63.4326,218.53,202.1,1,19,0.4118
MSFT,Technology,2021,3,1,Mar,2021-03,225.8709,225.7464,230.8019,214.7258,223.7399,724945800,31519382.6087,1.7467,0.0759,1.6236,1.5401,-7.2402,48.2,46.6339,225.32,207.63,1,23,1.4588
MSFT,Technology,2021,4,2,Apr,2021-04,228.3316,241.4588,252.0007,227.9295,244.7142,568661600,27079123.8095,6.9194,0.3295,1.3512,1.5155,-3.737,44.42,68.84,232.6,213.02,1,21,6.9602
MSFT,Technology,2021,5,2,May,2021-05,242.6268,239.6171,243.5365,227.9487,237.0974,495084900,24754245.0,-0.581,-0.0291,1.3212,1.3482,-8.7682,54.15,39.584,238.05,216.99,1,20,-0.7627
MSFT,Technology,2021,6,2,Jun,2021-06,241.1046,259.9818,260.7015,233.2063,248.5789,508572200,23116918.1818,8.2521,0.3751,0.8984,1.205,-5.9902,75.83,69.425,243.69,221.82,1,22,8.4989
MSFT,Technology,2021,7,3,Jul,2021-07,258.7438,273.4273,278.4559,258.7343,270.1569,522672700,24889176.1905,5.1289,0.2442,0.8605,0.8729,-1.9469,63.24,73.7005,256.33,229.31,1,21,5.1717
MSFT,Technology,2021,8,3,Aug,2021-08,274.8188,290.2679,294.0755,272.3044,282.7033,441308900,20059495.4545,6.075,0.2761,0.9037,0.8473,-1.8251,71.13,66.6364,273.82,238.01,1,22,6.1591
MSFT,Technology,2021,9,3,Sep,2021-09,291.2198,271.0757,293.5756,270.7872,285.4547,502918700,23948509.5238,-6.6872,-0.3184,1.2362,0.9629,-7.6338,34.43,47.531,282.84,246.55,1,21,-6.6119
MSFT,Technology,2021,10,4,Oct,2021-10,271.2679,318.8639,319.2293,269.4699,291.8663,516515800,24595990.4762,16.4829,0.7849,1.5347,1.3604,-7.244,89.79,63.0529,288.97,255.21,1,21,17.6291
MSFT,Technology,2021,11,4,Nov,2021-11,318.6139,318.455,336.8347,313.8159,323.2056,509885200,24280247.619,-0.0104,-0.0005,1.2669,1.2481,-3.9142,44.87,72.1024,303.25,265.56,1,21,-0.1282
MSFT,Technology,2021,12,4,Dec,2021-12,322.8284,323.9747,331.6618,305.6048,320.5914,625674800,28439763.6364,2.0247,0.092,1.6284,1.4482,-6.7617,45.24,47.8305,319.45,276.14,1,22,1.7333
MSFT,Technology,2022,1,1,Jan,2022-01,323.0404,299.5649,325.5931,265.9171,297.409,947531400,47376570.0,-7.4521,-0.3726,1.7826,1.7792,-15.9191,47.62,32.072,311.98,282.42,1,20,-7.5345
MSFT,Technology,2022,2,1,Feb,2022-02,299.0159,288.4175,303.553,262.0941,288.009,697050600,36686873.6842,-3.3419,-0.1759,2.1,1.9619,-18.1459,48.9,46.2395,299.02,286.79,1,19,-3.7212
MSFT,Technology,2022,3,1,Mar,2022-03,286.1104,297.607,304.9818,260.6269,285.4826,734334200,31927573.913,3.618,0.1573,2.1974,2.2217,-19.4368,72.69,52.5409,286.97,291.96,0,23,3.1862
MSFT,Technology,2022,4,2,Apr,2022-04,298.6303,267.8858,304.1709,260.6269,278.7844,627343400,31367170.0,-9.8798,-0.494,2.2592,2.0962,-21.0811,39.85,41.7845,282.17,293.74,0,20,-9.9867
MSFT,Technology,2022,5,2,May,2022-05,268.0692,263.0432,280.7821,238.4389,257.7215,742902000,35376285.7143,-1.2239,-0.0583,2.6077,2.5319,-26.0669,52.37,42.8933,273.02,291.96,0,21,-1.8077
MSFT,Technology,2022,6,2,Jun,2022-06,266.2651,248.4915,268.6743,233.6689,251.0739,621372300,29589157.1429,-5.1638,-0.2459,2.2463,2.3586,-29.0821,45.1,47.6862,256.99,288.1,0,21,-5.532
