sector,year,month,quarter,year_month,avg_close,avg_daily_return,avg_volatility,avg_rsi,max_drawdown,total_volume,ticker_count,avg_ma50,avg_ma200
Energy,2024,12,4,2024-12,123.0365,-0.4776,1.1607,24.639,-15.1496,553538700,2,127.9926,125.4917
Energy,2025,1,1,2025-01,124.3109,0.0663,1.1749,61.3715,-14.3212,468606400,2,126.0062,125.461
Energy,2025,2,1,2025-02,125.8497,0.3299,1.3633,52.5,-13.8789,399578400,2,123.925,125.145
Energy,2025,3,1,2025-03,129.8122,0.295,1.4811,58.9538,-14.4474,584372200,2,125.3619,125.0336
Energy,2025,4,2,2025-04,118.4435,-0.722,2.4825,39.5652,-20.6397,639729100,2,126.3507,125.1886
Energy,2025,5,2,2025-05,116.6366,-0.0081,2.2842,52.8764,-19.5893,505839700,2,122.4781,124.2605
Energy,2025,6,2,2025-06,121.3894,0.2566,1.226,60.7552,-17.769,604476800,2,118.1348,123.7825
Energy,2025,7,3,2025-07,126.9683,0.2193,1.3969,55.1468,-12.5612,585111700,2,120.8741,124.1791
Energy,2025,8,3,2025-08,127.8343,0.2453,1.208,54.9248,-13.3401,495846400,2,125.0274,124.2648
Energy,2025,9,3,2025-09,131.7956,-0.1037,1.1061,57.4029,-9.7237,515243000,2,128.2683,124.3807
Energy,2025,10,4,2025-10,130.126,0.0699,1.1603,47.4591,-9.5654,441577600,2,130.1691,125.0
Energy,2025,11,4,2025-11,131.88,-0.0185,1.1152,54.5432,-8.7826,441082100,2,131.1276,125.8289
Energy,2025,12,4,2025-12,131.9133,0.1104,1.1399,49.7332,-9.8757,525226800,2,131.2734,126.4648
Energy,2026,1,1,2026-01,145.0296,0.7943,1.5842,71.5792,-5.4802,668884900,2,134.0608,127.3195
Energy,2026,2,1,2026-02,163.6806,0.3992,1.6361,72.4016,-5.397,620124300,2,143.2037,130.8332
Energy,2026,3,1,2026-03,176.5748,0.4849,1.4711,68.7593,-4.1416,883920600,2,158.2191,136.2107
Energy,2026,4,2,2026-04,170.1934,-0.367,1.8075,38.6376,-14.5973,658535200,2,170.9783,142.121
Energy,2026,5,2,2026-05,170.2828,0.0498,1.8756,53.7488,-15.6879,439511700,2,172.7534,146.0303
Financials,2020,1,1,2020-01,117.7168,-0.2006,1.0845,41.1257,-7.8844,1313916300,3,117.4129,117.4129
Financials,2020,2,1,2020-02,113.6631,-0.7428,1.3242,42.9672,-20.0337,1375418000,3,117.294,117.294
Financials,2020,3,1,2020-03,82.3922,-0.8808,4.9819,30.7038,-48.9468,3694637900,3,108.9744,109.7924
Financials,2020,4,2,2020-04,82.9447,0.67,7.0522,56.1049,-44.1747,2253653600,3,92.5446,100.5908
Financials,2020,5,2,2020-05,85.5887,0.2175,3.8355,49.828,-41.0686,2014185600,3,82.5222,97.0547
Financials,2020,6,2,2020-06,95.7177,0.0067,3.5702,55.3156,-34.1745,2415268800,3,87.4109,96.2106
Financials,2020,7,3,2020-07,94.4234,0.1498,3.1323,51.7858,-35.255,1905528300,3,92.2003,95.8659
Financials,2020,8,3,2020-08,96.0593,0.186,1.8706,54.8929,-30.4632,1521391500,3,94.857,95.7903
Financials,2020,9,3,2020-09,93.8934,-0.1708,1.6407,43.3235,-33.401,1760692100,3,95.3027,95.7832
Financials,2020,10,4,2020-10,95.5092,-0.0608,1.7993,53.6564,-32.7998,1694192900,3,95.1138,95.3097
Financials,2020,11,4,2020-11,104.5856,0.9804,2.6222,65.1887,-32.1985,1681370300,3,96.015,93.5197
Financials,2020,12,4,2020-12,116.5233,0.4586,2.463,62.4262,-18.6958,1358968300,3,103.455,93.7083
Financials,2021,1,1,2021-01,133.0826,0.0649,1.8346,69.0979,-12.8145,1477911700,3,115.7284,98.1921
Financials,2021,2,1,2021-02,141.6289,0.8146,1.8253,66.1093,-11.9029,1235556100,3,127.1149,103.2039
Financials,2021,3,1,2021-03,154.9336,0.2656,1.6281,61.9939,-6.6168,1847928700,3,140.877,109.9033
Financials,2021,4,2,2021-04,155.925,0.2098,1.4844,52.1803,-7.2446,1382672100,3,150.817,116.5405
Financials,2021,5,2,2021-05,167.0819,0.3062,1.3734,64.6708,-4.4461,1127001600,3,157.678,123.4292
